Spiel_ID;Spieltag;Datum;Uhrzeit;Heim;Gast;Tore_Heim;Tore_Gast;
1;1;2020-09-18;00:00:00;4;18;8;0;
2;1;2020-09-19;00:00:00;3;10;1;1;
3;1;2020-09-19;00:00:00;9;2;1;3;
4;1;2020-09-19;00:00:00;16;6;2;3;
5;1;2020-09-19;00:00:00;7;13;1;4;
6;1;2020-09-19;00:00:00;8;12;2;3;
7;1;2020-09-19;00:00:00;5;11;3;0;
8;1;2020-09-20;00:00:00;1;17;3;1;
9;1;2020-09-20;00:00:00;15;14;0;0;
10;2;2020-09-25;00:00:00;13;3;1;3;
11;2;2020-09-26;00:00:00;11;9;1;1;
12;2;2020-09-26;00:00:00;14;1;1;1;
13;2;2020-09-26;00:00:00;17;8;1;4;
14;2;2020-09-26;00:00:00;2;5;2;0;
15;2;2020-09-26;00:00:00;10;16;1;0;
16;2;2020-09-26;00:00:00;18;7;1;3;
17;2;2020-09-27;00:00:00;6;4;4;1;
18;2;2020-09-27;00:00:00;12;15;1;1;
19;3;2020-10-02;00:00:00;9;17;4;0;
20;3;2020-10-03;00:00:00;5;12;4;0;
21;3;2020-10-03;00:00:00;3;6;2;1;
22;3;2020-10-03;00:00:00;16;11;1;3;
23;3;2020-10-03;00:00:00;7;10;1;0;
24;3;2020-10-03;00:00:00;8;14;1;1;
25;3;2020-10-03;00:00:00;1;18;4;0;
26;3;2020-10-04;00:00:00;15;2;0;0;
27;3;2020-10-04;00:00:00;4;13;4;3;
262;30;2021-04-20;15:30:00;4;14;0;0;
263;30;2021-04-20;15:30:00;5;9;0;0;
264;30;2021-04-20;15:30:00;6;11;0;0;
265;30;2021-04-20;15:30:00;3;2;0;0;
266;30;2021-04-20;15:30:00;13;12;0;0;
267;30;2021-04-20;15:30:00;16;1;0;0;
268;30;2021-04-20;15:30:00;7;17;0;0;
269;30;2021-04-20;15:30:00;10;18;0;0;
270;30;2021-04-20;15:30:00;8;15;0;0;
271;31;2021-04-24;15:30:00;1;8;0;0;
272;31;2021-04-24;15:30:00;11;10;0;0;
273;31;2021-04-24;15:30:00;14;3;0;0;
274;31;2021-04-24;15:30:00;15;5;0;0;
275;31;2021-04-24;15:30:00;12;6;0;0;
276;31;2021-04-24;15:30:00;9;7;0;0;
277;31;2021-04-24;15:30:00;18;13;0;0;
278;31;2021-04-24;15:30:00;17;4;0;0;
279;31;2021-04-24;15:30:00;2;16;0;0;
280;32;2021-05-08;15:30:00;4;11;0;0;
281;32;2021-05-08;15:30:00;5;1;0;0;
282;32;2021-05-08;15:30:00;6;18;0;0;
283;32;2021-05-08;15:30:00;15;9;0;0;
284;32;2021-05-08;15:30:00;3;17;0;0;
285;32;2021-05-08;15:30:00;13;10;0;0;
286;32;2021-05-08;15:30:00;16;12;0;0;
287;32;2021-05-08;15:30:00;7;14;0;0;
288;32;2021-05-08;15:30:00;8;2;0;0;
289;33;2021-05-15;15:30:00;1;15;0;0;
290;33;2021-05-15;15:30:00;11;8;0;0;
291;33;2021-05-15;15:30:00;14;9;0;0;
292;33;2021-05-15;15:30:00;12;4;0;0;
293;33;2021-05-15;15:30:00;13;16;0;0;
294;33;2021-05-15;15:30:00;18;3;0;0;
295;33;2021-05-15;15:30:00;17;5;0;0;
296;33;2021-05-15;15:30:00;2;7;0;0;
297;33;2021-05-15;15:30:00;10;6;0;0;
298;34;2021-05-22;15:30:00;4;2;0;0;
299;34;2021-05-22;15:30:00;5;14;0;0;
300;34;2021-05-22;15:30:00;6;13;0;0;
301;34;2021-05-22;15:30:00;15;17;0;0;
302;34;2021-05-22;15:30:00;3;12;0;0;
303;34;2021-05-22;15:30:00;9;1;0;0;
